concept,paper_count
neutral beam,3073960
frequency band,1053626
electron density,2722470
mean square error,121138
radio frequency,307708
gravitational wave,44870
diagonal density matrix element,17
charge storage,12063
molecular interaction,13775
van der waals,93017
quantum communication,14997
matching problem,10462
ultraviolet radiation,33178
energy dissipation rate,3858
terahertz radiation,7143
arabidopsis thaliana,101859
plasmonic nanoparticle,1564
circular dichroism spectroscopy,7358
residence time distribution,4395
density effect,2046
intrusion detection,69082
transmission line,89668
linear regression,506748
optical microscope,34492
magnetic induction,11642
photon microscope,1159
orthogonal frequency division multiplexing,30492
integral formula,3813
bond length,58351
pulsed field gradient,2162
mass relation,4021
molecular machinery,4661
remote sensing,389676
wavelet transform,98522
bayesian method,99692
supercontinuum generation,5858
channel code,1656
topological space,10375
silver nanoparticles,69357
fault diagnosis,83631
se model,988
mean squared error,51048
thirring model,1351
chemical synthesis,35505
polymer film,15527
magnetic force microscopy,4751
transformative effect,1996
ethylene terephthalate,13454
ergodic theory,4149
cauchy problem,21091
mexican hat,1659
state estimator,6472
pulse width modulation,24316
bulk modulus,16161
steering vector,2422
doppler velocimetry,8590
flux correlation function,164
reactive power,61868
clearer picture,9345
general relativity,80359
radar system,25470
nuclear fuel,34423
macroscopic scale,6502
acoustic wave,42749
dipole array,3215
svm classifier,12246
representation theorem,4765
acoustic spectrum,957
spin lattice,2304
binary code,5959
vertical magnetic field,2388
automatic differentiation,7185
linear differential equation,4548
nonequilibrium entropy,190
uncertainty reduction,3972
network dynamic,1274
integrated network,9087
algebraically closed field,6990
spectral energy,29694
decision tree algorithm,7155
molecular energy,2420
distributed model,8272
commutative algebra,4086
scattering particle,780
terahertz emission,2246
single molecule detection,1450
matching pursuit algorithm,1672
graph model,12570
optical microscopy,68155
binary operation,1709
helical structure,12702
uniaxial crystal,1063
atomic force microscope,28440
blue shift,13073
dendritic cell,41738
transition model,8602
electron concentration,8866
heating power,6790
transverse velocity,3407
classification model,44703
decision theory,16015
galerkin method,20969
ising universality,1259
signal transduction,147806
guidance law,6193
chain interaction,939
frequency encoding,720
sparse matrix,11746
tissue imaging,6813
high resolution transmission electron microscopy,6892
higgs boson,46434
bond percolation,2137
weibull distribution,19913
high refractive index material,226
josephson junction,11834
topological winding,542
edge state,3266
spectral collocation,2128
boolean algebra,5537
minkowski vacuum,691
spline function,3644
cmos image sensor,5592
lorentz covariance,938
wave superconductor,3975
dna replication,59418
network partitioning,1714
operational efficiency,79411
integral equation formulation,1545
dispersion equation,7022
collision theory,1541
secure transmission,5544
fertile ground,13407
multiparty computation,2520
turbulent channel,6756
hysteretic response,1203
bayesian uncertainty,1081
silicon nanoparticles,4659
electromagnetically induced transparency,7361
magnetic field perpendicular,2188
quantum cryptography,11882
spatial discretization,8411
vector polarization,386
resource monotone,35
acoustic response,4334
von neumann algebra,3400
dislocation density,18621
spatial representation,8542
optical extinction,2001
marcus theory,2450
trailing edge,21298
benzene ring,19741
curvature effect,1690
lattice qcd,21963
fold cross validation,11400
nicotiana tabacum,21226
monte carlo analysis,6974
integrated optic,1509
order polynomial,14788
cooperative game,12096
diffraction grating,9059
wave perturbation,490
optical transduction,512
electrode geometry,3189
phase modulation,28278
cubic structure,11451
fluorescence signal,12906
fourier transformation,15673
water jet,11588
energy conversion efficiency,14482
shannon theory,558
transmission intensity,2771
green emission,7208
oblique propagation,691
kitaev model,1948
trapped ion,4492
orthorhombic structure,5208
magnetic field evolution,1243
specular scattering,783
interpretable machine learning,8172
collective motion,6786
variational quantum algorithm,577
norbert wiener,1764
uv spectrum,4791
unsupervised classification,6882
information matrix,7924
hydrophobic surface,9295
densest subgraph,324
turbulence model,35996
particle identification,6198
high thermal conductivity,14707
classical kinetic equation,47
reduction effect,11380
spin density,16594
microscopy imaging,9335
boundary integral,13986
telecommunication system,4316
femtosecond laser ablation,2754
garch model,9115
edge diffraction,1485
kernel support vector machine,1043
frenkel exciton,820
resonant wavelength,3271
weyl group,4365
thermal behavior,33475
frequency tunable,1791
dipole transition,3043
frequency modulation,24131
anisotropic scaling,689
linear response theory,4432
spectral fitting,3534
mean square displacement,3857
holy grail,10743
boolean ring,252
resonating valence bond,790
viscous fluid,18091
ant colony optimization algorithm,4288
dispersion energy,1906
radiation energy,7312
photonic band,10275
electrical isolation,3301
emission spectroscopy,34566
schroedinger equation,3500
biological interaction,1740
force sensor,11051
contour map,4885
magnetoelectric effect,3463
storage density,7430
chattering phenomenon,2382
semantic model,5309
bilinear coupling,291
capacitated vehicle routing problem,2550
diffusive transport,5494
vacuum reservoir,214
transmission matrix,2619
wave pattern,5715
air turbulence,2698
linear programming formulation,2723
thermal evaporation,11493
hamiltonian density,376
surface interaction,9016
elliptic curve cryptography,7407
fibre bragg grating,2630
bragg diffraction,3625
quadratic polynomial,5246
green solvent,4948
atmospheric water vapor,4164
degenerative disease,11974
polarized emission,3497
self replication,91
photon resonance,2131
coupling regime,10758
sensing mechanism,11228
vapor density,1532
mott insulator,7500
free scalar,1503
low energy ion beam,534
quantum capacitance,1730
spectral band,7964
doppler shift,13256
tunnel junction,11404
proton nmr,8384
plasma formation,3843
quantum criticality,4673
bloch theorem,553
colloidal system,2002
coulomb gauge,2003
power amplification,2335
emission model,6413
energy diagram,1668
compressive sampling,2273
helmholtz equation,10573
convex optimisation,1354
charge polarization,1841
screw dislocation,3398
azimuthal index,276
gravitational force,8820
holomorphic representation,153
inductive coupling,4313
hybrid excitation,1271
linear support vector machine,2580
near infrared wavelength,753
laser heating,7019
temporal phase,2526
spline interpolation,8264
solitary wave,11843
battery power,10563
peierls phase,407
variational model,2430
quantum chaos,5589
low spatial resolution,5364
doppler frequency,9185
plasma dispersion,1274
spectral absorption,4155
quantum heisenberg model,290
precision spectroscopy,2339
nonlinear optical absorption,1021
wavefront propagation,802
multiphoton imaging,1542
radio network,12575
lstm model,19685
softmax regression,470
probability current,816
vector coupling,1519
perturbation series,2826
semiconductor surface,3759
casimir force,3765
recurrence formula,1194
transmission spectrum,9215
special linear group,884
borel subgroup,732
visual interpretation,9527
strain relaxation,5717
tail probability,1511
correlated emission,323
action spectrum,3100
lagrange multiplier,11492
spontaneous emission,25142
kaon decay,1072
photon photoemission,1213
image restoration,20548
crystalline phase,25666
noncommutative effect,51
path interferometer,786
precision frequency measurement,139
radiation propagation,790
speed measurement,5138
wave motion,7607
combinatorial structure,2664
galois field gf,508
bulk conductivity,1982
fourier filtering,960
antiferromagnetic ground state,1281
spin representation,429
hamiltonian action,455
smooth manifold,3398
thermal cycle,7750
microwave background radiation,4094
caloric effect,519
particle hamiltonian,751
momentum conservation equation,459
spin coupling,7475
nonlinear expression,319
resonant raman scattering,2097
block structure,5571
bounded real lemma,815
microscopic model,7932
optical amplification,2884
rf power,22337
randomized polynomial time algorithm,80
charge state,14448
raman peak,2973
sw model,271
photonic material,437
poisson solver,1552
radial line,1578
organic molecule,6985
cluster model,9826
localization microscopy,4854
reflection spectroscopy,4713
directional coupler,7079
visible radiation,3160
surface reflection,3290
diffusion operator,1405
wavelength converter,2173
cumulative energy,3151
dynamic heterogeneity,2007
bipartite network,2101
controller synthesis,5793
steiner tree,3940
weaker coupling,574
frequency converter,7262
wavelength measurement,754
scattered intensity,2584
optical nonlinearity,6469
fusion mechanism,5176
optical trap,7667
layered network,1730
lateral motion,3967
quadrature squeezing,757
nearest neighbor hopping,573
collagen fiber,6442
fusion reactor,11420
electronic density,9416
water dissociation,3591
bond dissociation,10838
dimer structure,1753
radiative transfer equation,5339
linear ordinary differential equation,1075
localized dissipation,129
hall state,2524
plasmon dispersion,1293
